"order_month","current_month_sales","last_month_sales","mom_change"
"2024-07","40574.10","31012.14","30.83"
"2024-06","31012.14","46478.16","-33.28"
"2024-05","46478.16","32263.11","44.06"
"2024-04","32263.11","50600.09","-36.24"
"2024-03","50600.09","181062.15","-72.05"
"2024-02","181062.15","372765.93","-51.43"
"2024-01","372765.93","302846.80","23.09"
"2023-12","302846.80","304562.74","-0.56"
"2023-11","304562.74","332934.26","-8.52"
"2023-10","332934.26","669049.32","-50.24"
"2023-09","669049.32","631351.95","5.97"
"2023-08","631351.95",NULL,NULL
